experiment,dgp,n,p,B,min_leaf,rep,method,mse,mae,mse_true,lam_js,leaves,snr
substitution,dgp1,600,10,500,2,0,RF,1.248426514039801,0.8106826869748175,0.06599776643455314,0.8122264426612621,233.222,0.1512192043539231
substitution,dgp1,600,10,500,2,0,SSRF,1.243912495930801,0.805307929498142,0.05567338993127739,0.8122264426612621,233.222,0.1512192043539231
substitution,dgp1,600,10,500,2,0,SSRF-JS,1.244301852683857,0.8054758516283097,0.05600701850448322,0.8122264426612621,233.222,0.1512192043539231
substitution,dgp1,600,10,1,2,1,RF,2.32699651031251,1.1736476184743252,1.0135685365944531,0.7123923358683543,234.0,0.12238293401659976
substitution,dgp1,600,10,1,2,1,SSRF,1.83535348534466,1.0291358098116186,0.5363839383742744,0.7123923358683543,234.0,0.12238293401659976
substitution,dgp1,600,10,1,2,1,SSRF-JS,1.8168556197106869,1.0256707305745476,0.5264689649617654,0.7123923358683543,234.0,0.12238293401659976
substitution,dgp1,600,10,3,2,1,RF,1.7624390100911411,0.989244435277667,0.485965625151012,0.7822607498033918,233.0,0.12238293401659976
substitution,dgp1,600,10,3,2,1,SSRF,1.5882344757876357,0.9321089842272327,0.32260450413554237,0.7822607498033918,233.0,0.12238293401659976
substitution,dgp1,600,10,3,2,1,SSRF-JS,1.592134262304645,0.932805811785501,0.326619317160366,0.7822607498033918,233.0,0.12238293401659976
substitution,dgp1,600,10,5,2,1,RF,1.5827962894437457,0.9341499587824807,0.302017858598528,0.8005660778466588,231.8,0.12238293401659976
substitution,dgp1,600,10,5,2,1,SSRF,1.4832867513365018,0.8956740385350176,0.21283565108896194,0.8005660778466588,231.8,0.12238293401659976
substitution,dgp1,600,10,5,2,1,SSRF-JS,1.4860684914105577,0.8957688826027526,0.21462581870117647,0.8005660778466588,231.8,0.12238293401659976
substitution,dgp1,600,10,10,2,1,RF,1.4574557099482697,0.8889853400528305,0.19203912153122332,0.7780321519894231,233.6,0.12238293401659976
substitution,dgp1,600,10,10,2,1,SSRF,1.395221078072603,0.8588558183863111,0.13584947614368928,0.7780321519894231,233.6,0.12238293401659976
substitution,dgp1,600,10,10,2,1,SSRF-JS,1.3956501912494585,0.8586153315977135,0.13696126762330435,0.7780321519894231,233.6,0.12238293401659976
substitution,dgp1,600,10,25,2,1,RF,1.3707467048781294,0.8564711560560113,0.13552473894974873,0.7807884354771001,232.96,0.12238293401659976
substitution,dgp1,600,10,25,2,1,SSRF,1.33720162995468,0.8389646612429894,0.10163871983676359,0.7807884354771001,232.96,0.12238293401659976
substitution,dgp1,600,10,25,2,1,SSRF-JS,1.3379112049270052,0.8393733558128463,0.10283118101448815,0.7807884354771001,232.96,0.12238293401659976
substitution,dgp1,600,10,50,2,1,RF,1.344321258345759,0.8434628211899178,0.1077090988795519,0.7711175460602994,232.94,0.12238293401659976
substitution,dgp1,600,10,50,2,1,SSRF,1.3192609684854302,0.8304096168479471,0.08363814797798177,0.7711175460602994,232.94,0.12238293401659976
substitution,dgp1,600,10,50,2,1,SSRF-JS,1.3194161371286868,0.830417688268982,0.0841082218143067,0.7711175460602994,232.94,0.12238293401659976
substitution,dgp1,600,10,100,2,1,RF,1.336887352784004,0.8409678361216849,0.09177067095810916,0.7702878908194256,232.98,0.12238293401659976
substitution,dgp1,600,10,100,2,1,SSRF,1.315201244228713,0.828710325974496,0.07389496959464091,0.7702878908194256,232.98,0.12238293401659976
substitution,dgp1,600,10,100,2,1,SSRF-JS,1.3156343269460467,0.8289577344637746,0.07420168602683361,0.7702878908194256,232.98,0.12238293401659976
substitution,dgp1,600,10,250,2,1,RF,1.336596051612408,0.8391662005467905,0.08653983245349756,0.76682566465556,233.232,0.12238293401659976
