experiment,dgp,n,p,B,min_leaf,rep,method,mse,mse_true,runtime,lam_tree,lam_cv,lam_ij,lam_oracle,lam_local_mean
calibration,dgp1,300,10,100,5,2,RF,1.1377354708385632,0.09681998422418528,0.11621482699979424,0.7955511791618463,0.8877201066700554,0.8992005133970881,0.6900000000000001,0.9181968135048966
calibration,dgp1,300,10,100,5,2,SSRF-JS,1.1193326052410846,0.07916524360261347,0.11621482699979424,0.7955511791618463,0.8877201066700554,0.8992005133970881,0.6900000000000001,0.9181968135048966
calibration,dgp1,300,10,100,5,2,Cal-CV,1.12540020652811,0.08484335715343042,0.7292413789998591,0.7955511791618463,0.8877201066700554,0.8992005133970881,0.6900000000000001,0.9181968135048966
calibration,dgp1,300,10,100,5,2,Cal-CV-local,1.1257141251222529,0.08638675313102365,0.7292413789998591,0.7955511791618463,0.8877201066700554,0.8992005133970881,0.6900000000000001,0.9181968135048966
calibration,dgp1,300,10,100,5,2,Cal-IJ,1.126413869646904,0.08582035029279098,0.1515056469997944,0.7955511791618463,0.8877201066700554,0.8992005133970881,0.6900000000000001,0.9181968135048966
calibration,dgp1,300,10,100,5,3,RF,1.3941937105244622,0.09515826024345748,0.12360317200000281,0.7914128707992986,0.49055227399303075,0.6777937853822076,0.76,0.6419278081858175
calibration,dgp1,300,10,100,5,3,SSRF-JS,1.3845419493281153,0.08684097642200488,0.12360317200000281,0.7914128707992986,0.49055227399303075,0.6777937853822076,0.76,0.6419278081858175
calibration,dgp1,300,10,100,5,3,Cal-CV,1.392160002262884,0.09663177677248717,0.720134107000149,0.7914128707992986,0.49055227399303075,0.6777937853822076,0.76,0.6419278081858175
calibration,dgp1,300,10,100,5,3,Cal-CV-local,1.3912170151322663,0.0926009140251039,0.720134107000149,0.7914128707992986,0.49055227399303075,0.6777937853822076,0.76,0.6419278081858175
calibration,dgp1,300,10,100,5,3,Cal-IJ,1.384425045047658,0.08760778039376943,0.15484293500003332,0.7914128707992986,0.49055227399303075,0.6777937853822076,0.76,0.6419278081858175
calibration,dgp1,300,10,100,5,4,RF,1.180480821306234,0.10757171828163958,0.12194290200000069,0.7651393663486504,0.5070056779257334,0.21913150210988935,0.85,0.6357202205186339
calibration,dgp1,300,10,100,5,4,SSRF-JS,1.184160678920576,0.10620007972436274,0.12194290200000069,0.7651393663486504,0.5070056779257334,0.21913150210988935,0.85,0.6357202205186339
calibration,dgp1,300,10,100,5,4,Cal-CV,1.1985463408105677,0.11482314679722931,0.6859815319999143,0.7651393663486504,0.5070056779257334,0.21913150210988935,0.85,0.6357202205186339
calibration,dgp1,300,10,100,5,4,Cal-CV-local,1.1902882153011267,0.11059326485414166,0.6859815319999143,0.7651393663486504,0.5070056779257334,0.21913150210988935,0.85,0.6357202205186339
calibration,dgp1,300,10,100,5,4,Cal-IJ,1.226827675010179,0.13678980881667457,0.15519151400008013,0.7651393663486504,0.5070056779257334,0.21913150210988935,0.85,0.6357202205186339
calibration,dgp1,300,10,100,5,5,RF,1.3783636625602544,0.1076183772264888,0.11238152900000387,0.7949392842395094,0.9176100130825275,0.8222070123815615,0.59,0.9516105021497235
calibration,dgp1,300,10,100,5,5,SSRF-JS,1.3427810031444976,0.07791053229832705,0.11238152900000387,0.7949392842395094,0.9176100130825275,0.8222070123815615,0.59,0.9516105021497235
calibration,dgp1,300,10,100,5,5,Cal-CV,1.3617074323260046,0.09316209786482921,0.6169211760000053,0.7949392842395094,0.9176100130825275,0.8222070123815615,0.59,0.9516105021497235
calibration,dgp1,300,10,100,5,5,Cal-CV-local,1.360937510423868,0.09231078398044743,0.6169211760000053,0.7949392842395094,0.9176100130825275,0.8222070123815615,0.59,0.9516105021497235
calibration,dgp1,300,10,100,5,5,Cal-IJ,1.3465084265738394,0.08051051228460875,0.13888472100006766,0.7949392842395094,0.9176100130825275,0.8222070123815615,0.59,0.9516105021497235
calibration,dgp1,300,10,100,5,6,RF,1.3255827618199838,0.10473548476361585,0.09726951900006497,0.7736480649485411,0.4151495959105733,0.29105006454583426,0.8,0.5599280266476925
calibration,dgp1,300,10,100,5,6,SSRF-JS,1.3211053847925054,0.10028610274903849,0.09726951900006497,0.7736480649485411,0.4151495959105733,0.29105006454583426,0.8,0.5599280266476925
calibration,dgp1,300,10,100,5,6,Cal-CV,1.3373978386234837,0.11650161768559716,0.6311417120000442,0.7736480649485411,0.4151495959105733,0.29105006454583426,0.8,0.5599280266476925
calibration,dgp1,300,10,100,5,6,Cal-CV-local,1.3267025532977395,0.11253715448679444,0.6311417120000442,0.7736480649485411,0.4151495959105733,0.29105006454583426,0.8,0.5599280266476925
calibration,dgp1,300,10,100,5,6,Cal-IJ,1.3497180723525317,0.12881146600203855,0.12575146800008952,0.7736480649485411,0.4151495959105733,0.29105006454583426,0.8,0.5599280266476925
calibration,dgp1,300,10,100,5,7,RF,1.2554964420257897,0.07295878980839145,0.10515401400016344,0.7930066065957054,0.7084266740806604,0.8076375469623661,0.78,0.7827564000387833
calibration,dgp1,300,10,100,5,7,SSRF-JS,1.244350359377755,0.06552106838832686,0.10515401400016344,0.7930066065957054,0.7084266740806604,0.8076375469623661,0.78,0.7827564000387833
calibration,dgp1,300,10,100,5,7,Cal-CV,1.2431564748530979,0.06595303453044331,0.6705662460001349,0.7930066065957054,0.7084266740806604,0.8076375469623661,0.78,0.7827564000387833
calibration,dgp1,300,10,100,5,7,Cal-CV-local,1.2412551966545755,0.06653640171832043,0.6705662460001349,0.7930066065957054,0.7084266740806604,0.8076375469623661,0.78,0.7827564000387833
